fn,title
nand.nand,1. nand
not.nand,2. not
and.nand,3. and
or.nand,4. or
halfadd.nand,5. half add
fulladd.nand,6. full add
array.nand,7. array
add.nand,8. 4bit add
sub.nand,9. 4bit sub
mul.nand,10. 4bit mul
